Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
107.000000	0.886500	0.620200	0.402600	0.406200	
108.000000	0.886100	0.618700	0.400500	0.405100	
109.000000	0.885800	0.620500	0.403500	0.408300	
110.000000	0.885200	0.623200	0.403200	0.409000	
111.000000	0.885800	0.621700	0.401700	0.407300	
112.000000	0.887100	0.622900	0.403000	0.408300	
113.000000	0.886100	0.619200	0.402200	0.406900	
114.000000	0.885500	0.619100	0.402200	0.407300	
115.000000	0.886800	0.618900	0.400800	0.408600	
116.000000	0.886900	0.621100	0.401200	0.407900	
117.000000	0.887200	0.619600	0.399500	0.405100	
118.000000	0.885800	0.619400	0.400900	0.405600	
119.000000	0.886100	0.620000	0.399300	0.406800	
120.000000	0.885800	0.619000	0.399400	0.404900	
